chr	start	end	BS	BS.norm	boundary	TADid	TAD
I	5000	9999	-99.000	 0.000e+00	0	0	0
I	10000	14999	-99.000	 0.000e+00	0	0	0
I	15000	19999	-99.000	 0.000e+00	0	0	0
I	20000	24999	-99.000	 0.000e+00	0	0	0
I	25000	29999	-99.000	 0.000e+00	0	0	0
I	30000	34999	-99.000	 0.000e+00	0	0	0
I	35000	39999	-99.000	 0.000e+00	0	0	0
I	40000	44999	-99.000	 0.000e+00	0	0	0
I	45000	49999	-99.000	 0.000e+00	0	0	0
I	50000	54999	-99.000	 0.000e+00	0	0	0
I	55000	59999	-99.000	 0.000e+00	0	0	0
I	60000	64999	-99.000	 0.000e+00	0	0	0
I	65000	69999	  6.280	 1.287e+00	1	0.5	0
I	70000	74999	  4.985	 4.079e-01	0	1	1
I	75000	79999	  4.432	-1.452e-01	0	1	1
I	80000	84999	  4.362	-2.150e-01	0	1	1
I	85000	89999	  4.379	-1.981e-01	0	1	1
I	90000	94999	  4.326	-2.509e-01	0	1	1
I	95000	99999	  4.351	-2.265e-01	0	1	1
I	100000	104999	  4.086	-4.910e-01	0	1	1
I	105000	109999	  3.836	-7.412e-01	0	1	1
I	110000	114999	  3.743	-8.344e-01	0	1	1
I	115000	119999	  3.773	-8.043e-01	0	1	1
I	120000	124999	  3.902	-6.749e-01	0	1	1
I	125000	129999	  4.059	-5.179e-01	0	1	1
I	130000	134999	  4.155	-4.222e-01	0	1	1
I	135000	139999	  4.257	-3.205e-01	0	1	1
I	140000	144999	  4.295	-2.824e-01	0	1	1
I	145000	149999	  4.471	-1.059e-01	0	1	1
I	150000	154999	  4.638	 6.067e-02	0	1	1
I	155000	159999	  4.650	 7.217e-02	0	1	1
I	160000	164999	  4.685	 1.076e-01	0	1	1
I	165000	169999	  4.705	 1.273e-01	1	1.5	0
I	170000	174999	  4.629	 5.192e-02	0	2	1
I	175000	179999	  4.561	-1.673e-02	0	2	1
I	180000	184999	  4.497	-8.045e-02	0	2	1
I	185000	189999	  4.425	-1.526e-01	0	2	1
I	190000	194999	  4.296	-2.809e-01	0	2	1
I	195000	199999	  4.152	-4.250e-01	0	2	1
I	200000	204999	  4.165	-4.127e-01	0	2	1
I	205000	209999	  4.243	-3.342e-01	0	2	1
I	210000	214999	  4.309	-2.686e-01	0	2	1
I	215000	219999	  4.546	-3.087e-02	0	2	1
I	220000	224999	  4.444	-1.337e-01	0	2	1
I	225000	229999	  4.355	-2.228e-01	0	2	1
I	230000	234999	  4.322	-2.549e-01	0	2	1
I	235000	239999	  4.266	-3.117e-01	0	2	1
I	240000	244999	  4.386	-1.914e-01	0	2	1
I	245000	249999	  4.422	-1.552e-01	0	2	1
I	250000	254999	  4.520	-5.761e-02	0	2	1
I	255000	259999	  4.471	-1.064e-01	0	2	1
I	260000	264999	  4.418	-1.591e-01	0	2	1
I	265000	269999	  4.553	-2.444e-02	0	2	1
I	270000	274999	  4.752	 1.751e-01	0	2	1
I	275000	279999	  4.779	 2.019e-01	1	2.5	0
I	280000	284999	  4.729	 1.517e-01	0	3	1
I	285000	289999	  4.721	 1.432e-01	0	3	1
I	290000	294999	  4.717	 1.395e-01	0	3	1
I	295000	299999	  4.401	-1.768e-01	0	3	1
I	300000	304999	  4.235	-3.420e-01	0	3	1
I	305000	309999	  4.269	-3.085e-01	0	3	1
I	310000	314999	  4.268	-3.097e-01	0	3	1
I	315000	319999	  4.359	-2.185e-01	0	3	1
I	320000	324999	  4.662	 8.459e-02	0	3	1
I	325000	329999	  4.937	 3.601e-01	0	3	1
I	330000	334999	  5.148	 5.704e-01	0	3	1
I	335000	339999	  5.480	 9.026e-01	1	3.5	0
I	340000	344999	  5.202	 6.245e-01	0	4	1
I	345000	349999	  4.816	 2.389e-01	0	4	1
I	350000	354999	  4.637	 5.942e-02	0	4	1
I	355000	359999	  4.696	 1.182e-01	0	4	1
I	360000	364999	  4.675	 9.814e-02	0	4	1
I	365000	369999	  4.595	 1.738e-02	0	4	1
I	370000	374999	  4.405	-1.721e-01	0	4	1
I	375000	379999	  4.242	-3.355e-01	0	4	1
I	380000	384999	  4.318	-2.593e-01	0	4	1
I	385000	389999	  4.469	-1.083e-01	0	4	1
I	390000	394999	  4.448	-1.290e-01	0	4	1
I	395000	399999	  4.409	-1.679e-01	0	4	1
I	400000	404999	  4.335	-2.422e-01	0	4	1
I	405000	409999	  4.293	-2.840e-01	0	4	1
I	410000	414999	  4.256	-3.209e-01	0	4	1
I	415000	419999	  4.246	-3.316e-01	0	4	1
I	420000	424999	  4.215	-3.621e-01	0	4	1
I	425000	429999	  4.248	-3.298e-01	0	4	1
I	430000	434999	  4.243	-3.340e-01	0	4	1
I	435000	439999	  4.218	-3.595e-01	0	4	1
I	440000	444999	  4.306	-2.710e-01	0	4	1
I	445000	449999	  4.432	-1.458e-01	0	4	1
I	450000	454999	  4.758	 1.809e-01	1	4.5	0
I	455000	459999	  4.678	 1.002e-01	0	5	1
I	460000	464999	  4.541	-3.661e-02	0	5	1
I	465000	469999	  4.492	-8.511e-02	0	5	1
I	470000	474999	  4.475	-1.019e-01	0	5	1
I	475000	479999	  4.367	-2.105e-01	0	5	1
I	480000	484999	  4.241	-3.361e-01	0	5	1
I	485000	489999	  4.184	-3.937e-01	0	5	1
I	490000	494999	  4.225	-3.521e-01	0	5	1
I	495000	499999	  4.405	-1.726e-01	0	5	1
I	500000	504999	  4.568	-9.333e-03	0	5	1
I	505000	509999	  4.538	-3.965e-02	0	5	1
I	510000	514999	  4.468	-1.092e-01	0	5	1
I	515000	519999	  4.531	-4.606e-02	0	5	1
I	520000	524999	  4.656	 7.861e-02	0	5	1
I	525000	529999	  5.105	 5.281e-01	0	5	1
I	530000	534999	  5.489	 9.113e-01	1	5.5	0
I	535000	539999	  5.210	 6.322e-01	0	6	0
I	540000	544999	  4.902	 3.248e-01	0	6	0
I	545000	549999	  4.653	 7.517e-02	0	6	0
I	550000	554999	  4.662	 8.495e-02	0	6	0
I	555000	559999	  4.835	 2.575e-01	1	6.5	0
I	560000	564999	  4.757	 1.798e-01	0	7	1
I	565000	569999	  4.498	-7.930e-02	0	7	1
I	570000	574999	  4.265	-3.119e-01	0	7	1
I	575000	579999	  4.137	-4.405e-01	0	7	1
I	580000	584999	  4.132	-4.450e-01	0	7	1
I	585000	589999	  4.221	-3.564e-01	0	7	1
I	590000	594999	  4.396	-1.812e-01	0	7	1
I	595000	599999	  4.538	-3.893e-02	0	7	1
I	600000	604999	  4.600	 2.265e-02	0	7	1
I	605000	609999	  4.624	 4.684e-02	0	7	1
I	610000	614999	  4.658	 8.069e-02	0	7	1
I	615000	619999	  4.630	 5.282e-02	0	7	1
I	620000	624999	  4.692	 1.150e-01	1	7.5	0
I	625000	629999	  4.545	-3.194e-02	0	8	1
I	630000	634999	  4.342	-2.349e-01	0	8	1
I	635000	639999	  4.225	-3.520e-01	0	8	1
I	640000	644999	  4.107	-4.700e-01	0	8	1
I	645000	649999	  4.081	-4.960e-01	0	8	1
I	650000	654999	  4.031	-5.462e-01	0	8	1
I	655000	659999	  3.893	-6.841e-01	0	8	1
I	660000	664999	  3.835	-7.426e-01	0	8	1
I	665000	669999	  3.834	-7.428e-01	0	8	1
