bin	chr	start	end
1	I	0	199
2	I	200	399
3	I	400	599
4	I	600	799
5	I	800	999
6	I	1000	1199
7	I	1200	1399
8	I	1400	1599
9	I	1600	1799
10	I	1800	1999
11	I	2000	2199
12	I	2200	2399
13	I	2400	2599
14	I	2600	2799
15	I	2800	2999
16	I	3000	3199
17	I	3200	3399
18	I	3400	3599
19	I	3600	3799
20	I	3800	3999
21	I	4000	4199
22	I	4200	4399
23	I	4400	4599
24	I	4600	4799
25	I	4800	4999
26	I	5000	5199
27	I	5200	5399
28	I	5400	5599
29	I	5600	5799
30	I	5800	5999
31	I	6000	6199
32	I	6200	6399
33	I	6400	6599
34	I	6600	6799
35	I	6800	6999
36	I	7000	7199
37	I	7200	7399
38	I	7400	7599
39	I	7600	7799
40	I	7800	7999
41	I	8000	8199
42	I	8200	8399
43	I	8400	8599
44	I	8600	8799
45	I	8800	8999
46	I	9000	9199
47	I	9200	9399
48	I	9400	9599
49	I	9600	9799
50	I	9800	9999
51	I	10000	10199
52	I	10200	10399
53	I	10400	10599
54	I	10600	10799
55	I	10800	10999
56	I	11000	11199
57	I	11200	11399
58	I	11400	11599
59	I	11600	11799
60	I	11800	11999
61	I	12000	12199
62	I	12200	12399
63	I	12400	12599
64	I	12600	12799
65	I	12800	12999
66	I	13000	13199
67	I	13200	13399
68	I	13400	13599
69	I	13600	13799
70	I	13800	13999
71	I	14000	14199
72	I	14200	14399
73	I	14400	14599
74	I	14600	14799
75	I	14800	14999
76	I	15000	15199
77	I	15200	15399
78	I	15400	15599
79	I	15600	15799
80	I	15800	15999
81	I	16000	16199
82	I	16200	16399
83	I	16400	16599
84	I	16600	16799
85	I	16800	16999
86	I	17000	17199
87	I	17200	17399
88	I	17400	17599
89	I	17600	17799
90	I	17800	17999
91	I	18000	18199
92	I	18200	18399
93	I	18400	18599
94	I	18600	18799
95	I	18800	18999
96	I	19000	19199
97	I	19200	19399
98	I	19400	19599
99	I	19600	19799
100	I	19800	19999
101	I	20000	20199
102	I	20200	20399
103	I	20400	20599
104	I	20600	20799
105	I	20800	20999
106	I	21000	21199
107	I	21200	21399
108	I	21400	21599
109	I	21600	21799
110	I	21800	21999
111	I	22000	22199
112	I	22200	22399
113	I	22400	22599
114	I	22600	22799
115	I	22800	22999
116	I	23000	23199
117	I	23200	23399
118	I	23400	23599
119	I	23600	23799
120	I	23800	23999
121	I	24000	24199
122	I	24200	24399
123	I	24400	24599
124	I	24600	24799
125	I	24800	24999
126	I	25000	25199
127	I	25200	25399
128	I	25400	25599
129	I	25600	25799
130	I	25800	25999
131	I	26000	26199
132	I	26200	26399
133	I	26400	26599
134	I	26600	26799
135	I	26800	26999
136	I	27000	27199
137	I	27200	27399
138	I	27400	27599
139	I	27600	27799
140	I	27800	27999
141	I	28000	28199
142	I	28200	28399
143	I	28400	28599
144	I	28600	28799
145	I	28800	28999
146	I	29000	29199
147	I	29200	29399
148	I	29400	29599
149	I	29600	29799
150	I	29800	29999
151	I	30000	30199
152	I	30200	30399
153	I	30400	30599
154	I	30600	30799
155	I	30800	30999
156	I	31000	31199
157	I	31200	31399
158	I	31400	31599
159	I	31600	31799
160	I	31800	31999
161	I	32000	32199
162	I	32200	32399
163	I	32400	32599
164	I	32600	32799
165	I	32800	32999
166	I	33000	33199
167	I	33200	33399
168	I	33400	33599
169	I	33600	33799
170	I	33800	33999
171	I	34000	34199
172	I	34200	34399
173	I	34400	34599
174	I	34600	34799
175	I	34800	34999
176	I	35000	35199
177	I	35200	35399
