chr	start	end	BS	BS.norm	boundary	TADid	TAD
I	6200	6399	   NA	   NA	0	0	0
I	6400	6599	   NA	   NA	0	0	0
I	6600	6799	   NA	   NA	0	0	0
I	6800	6999	   NA	   NA	0	0	0
I	7000	7199	   NA	   NA	0	0	0
I	7200	7399	   NA	   NA	0	0	0
I	7400	7599	   NA	   NA	0	0	0
I	7600	7799	   NA	   NA	0	0	0
I	7800	7999	   NA	   NA	0	0	0
I	8000	8199	   NA	   NA	0	0	0
I	8200	8399	   NA	   NA	0	0	0
I	8400	8599	   NA	   NA	0	0	0
I	8600	8799	   NA	   NA	0	0	0
I	8800	8999	   NA	   NA	0	0	0
I	9000	9199	   NA	   NA	0	0	0
I	9200	9399	   NA	   NA	0	0	0
I	9400	9599	   NA	   NA	0	0	0
I	9600	9799	   NA	   NA	0	0	0
I	9800	9999	15.12	12.81	0	0	0
I	10000	10199	11.79	9.468	0	0	0
I	10200	10399	24.97	22.66	1	0.5	0
I	10400	10599	16.78	14.46	0	1	0
I	10600	10799	 16.8	14.48	0	1	0
I	10800	10999	 10.9	8.585	0	1	0
I	11000	11199	9.079	6.761	0	1	0
I	11200	11399	10.47	8.155	0	1	0
I	11400	11599	12.67	10.35	1	1.5	0
I	11600	11799	11.61	9.297	0	2	1
I	11800	11999	10.62	  8.3	0	2	1
I	12000	12199	   11	8.681	0	2	1
I	12200	12399	10.64	8.325	0	2	1
I	12400	12599	2.016	-0.3013	0	2	1
I	12600	12799	2.691	0.374	0	2	1
I	12800	12999	1.155	-1.162	0	2	1
I	13000	13199	1.237	-1.081	0	2	1
I	13200	13399	0.9913	-1.326	0	2	1
I	13400	13599	1.104	-1.213	0	2	1
I	13600	13799	1.106	-1.211	0	2	1
I	13800	13999	1.242	-1.075	0	2	1
I	14000	14199	1.196	-1.121	0	2	1
I	14200	14399	1.396	-0.9208	0	2	1
I	14400	14599	 1.58	-0.7374	0	2	1
I	14600	14799	1.558	-0.7591	0	2	1
I	14800	14999	1.488	-0.8296	0	2	1
I	15000	15199	1.337	-0.9802	0	2	1
I	15200	15399	1.372	-0.9453	0	2	1
I	15400	15599	2.166	-0.1517	0	2	1
I	15600	15799	 2.44	0.1229	0	2	1
I	15800	15999	3.392	1.075	0	2	1
I	16000	16199	15.99	13.67	1	2.5	0
I	16200	16399	6.605	4.287	0	3	0
I	16400	16599	6.307	 3.99	0	3	0
I	16600	16799	 6.46	4.143	0	3	0
I	16800	16999	5.908	 3.59	0	3	0
I	17000	17199	6.407	 4.09	0	3	0
I	17200	17399	5.747	3.429	0	3	0
I	17400	17599	4.752	2.435	0	3	0
I	17600	17799	4.866	2.549	0	3	0
I	17800	17999	5.038	2.721	0	3	0
I	18000	18199	5.267	 2.95	0	3	0
I	18200	18399	4.036	1.719	0	3	0
I	18400	18599	    6	3.683	1	3.5	0
I	18600	18799	    3	0.6827	0	4	1
I	18800	18999	    1	-1.317	0	4	1
I	19000	19199	    9	6.683	1	4.5	0
I	19200	19399	   NA	   NA	0	5	0
I	19400	19599	   NA	   NA	0	5	0
I	19600	19799	4.857	 2.54	1	5.5	0
I	19800	19999	4.857	 2.54	1	6.5	0
I	20000	20199	4.857	 2.54	1	7.5	0
I	20200	20399	4.056	1.738	0	8	0
I	20400	20599	4.056	1.738	0	8	0
I	20600	20799	4.056	1.738	1	8.5	0
I	20800	20999	4.056	1.738	1	9.5	0
I	21000	21199	4.056	1.738	0	10	0
I	21200	21399	4.056	1.738	0	10	0
I	21400	21599	7.111	4.794	1	10.5	0
I	21600	21799	7.111	4.794	1	11.5	0
I	21800	21999	7.111	4.794	1	12.5	0
I	22000	22199	 2.42	0.1032	0	13	1
I	22200	22399	  2.6	0.2827	0	13	1
I	22400	22599	1.129	-1.188	0	13	1
I	22600	22799	 5.81	3.492	0	13	1
I	22800	22999	6.536	4.218	0	13	1
I	23000	23199	6.536	4.218	0	13	1
I	23200	23399	7.111	4.794	1	13.5	0
I	23400	23599	7.111	4.794	1	14.5	0
I	23600	23799	7.111	4.794	1	15.5	0
I	23800	23999	7.111	4.794	1	16.5	0
I	24000	24199	7.111	4.794	1	17.5	0
I	24200	24399	7.111	4.794	1	18.5	0
I	24400	24599	4.741	2.423	0	19	0
I	24600	24799	4.741	2.423	0	19	0
I	24800	24999	5.333	3.016	0	19	0
I	25000	25199	 8.75	6.433	0	19	0
I	25200	25399	11.33	9.016	1	19.5	0
I	25400	25599	   NA	   NA	0	20	1
I	25600	25799	   NA	   NA	0	20	1
I	25800	25999	   NA	   NA	0	20	1
I	26000	26199	   NA	   NA	0	20	1
I	26200	26399	   NA	   NA	0	20	1
I	26400	26599	   NA	   NA	0	20	1
I	26600	26799	   NA	   NA	0	20	1
I	26800	26999	   NA	   NA	0	20	1
I	27000	27199	   NA	   NA	0	20	1
I	27200	27399	   NA	   NA	0	20	1
I	27400	27599	   NA	   NA	0	20	1
I	27600	27799	   NA	   NA	0	20	1
I	27800	27999	   NA	   NA	0	20	1
I	28000	28199	   NA	   NA	0	20	1
I	28200	28399	   NA	   NA	0	20	1
I	28400	28599	   NA	   NA	0	20	1
I	28600	28799	   NA	   NA	0	20	1
I	28800	28999	   NA	   NA	0	20	1
I	29000	29199	   NA	   NA	0	20	1
I	29200	29399	   NA	   NA	0	20	1
I	29400	29599	   NA	   NA	0	20	1
I	29600	29799	   NA	   NA	0	20	1
I	29800	29999	   NA	   NA	0	20	1
I	30000	30199	   NA	   NA	0	20	1
I	30200	30399	   NA	   NA	0	20	1
I	30400	30599	   NA	   NA	0	20	1
I	30600	30799	   NA	   NA	0	20	1
I	30800	30999	   NA	   NA	0	20	1
I	31000	31199	   NA	   NA	0	20	1
I	31200	31399	   NA	   NA	0	20	1
I	31400	31599	   NA	   NA	0	20	1
I	31600	31799	0.9167	-1.401	0	20	1
I	31800	31999	0.3684	-1.949	0	20	1
I	32000	32199	0.3684	-1.949	0	20	1
I	32200	32399	0.3684	-1.949	0	20	1
I	32400	32599	0.3684	-1.949	0	20	1
I	32600	32799	0.3684	-1.949	0	20	1
I	32800	32999	0.3438	-1.974	0	20	1
I	33000	33199	0.5556	-1.762	0	20	1
I	33200	33399	  1.5	-0.8173	0	20	1
I	33400	33599	1.496	-0.8216	0	20	1
I	33600	33799	1.283	-1.034	0	20	1
I	33800	33999	1.283	-1.034	0	20	1
I	34000	34199	1.283	-1.034	0	20	1
I	34200	34399	0.9418	-1.375	0	20	1
I	34400	34599	0.9418	-1.375	0	20	1
I	34600	34799	1.373	-0.9439	0	20	1
I	34800	34999	1.132	-1.185	0	20	1
I	35000	35199	1.132	-1.185	0	20	1
I	35200	35399	1.132	-1.185	0	20	1
I	35400	35599	1.349	-0.9683	0	20	1
I	35600	35799	1.423	-0.8942	0	20	1
I	35800	35999	0.5603	-1.757	0	20	1
I	36000	36199	0.5588	-1.758	0	20	1
I	36200	36399	0.5128	-1.804	0	20	1
I	36400	36599	0.6333	-1.684	0	20	1
I	36600	36799	2.375	0.05773	1	20.5	0
I	36800	36999	2.375	0.05773	0	21	0
I	37000	37199	2.375	0.05773	0	21	0
I	37200	37399	2.743	0.4256	0	21	0
I	37400	37599	2.743	0.4256	0	21	0
I	37600	37799	 3.48	1.163	1	21.5	0
I	37800	37999	 3.48	1.163	1	22.5	0
I	38000	38199	 3.48	1.163	0	23	0
I	38200	38399	 3.48	1.163	0	23	0
I	38400	38599	 4.05	1.733	0	23	0
I	38600	38799	  4.5	2.183	1	23.5	0
I	38800	38999	2.889	0.5716	0	24	0
I	39000	39199	2.889	0.5716	0	24	0
I	39200	39399	2.889	0.5716	1	24.5	0
I	39400	39599	2.667	0.3494	0	25	1
I	39600	39799	   NA	   NA	0	25	1
I	39800	39999	   NA	   NA	0	25	1
I	40000	40199	   NA	   NA	0	25	1
I	40200	40399	   NA	   NA	0	25	1
I	40400	40599	   NA	   NA	0	25	1
I	40600	40799	   NA	   NA	0	25	1
I	40800	40999	   NA	   NA	0	25	1
I	41000	41199	   NA	   NA	0	25	1
I	41200	41399	   NA	   NA	0	25	1
I	41400	41599	   NA	   NA	0	25	1
I	41600	41799	   NA	   NA	0	25	1
I	41800	41999	   NA	   NA	0	25	1
I	42000	42199	   NA	   NA	0	25	1
I	42200	42399	   NA	   NA	0	25	1
I	42400	42599	   NA	   NA	0	25	1
I	42600	42799	   NA	   NA	0	25	1
I	42800	42999	   NA	   NA	0	25	1
I	43000	43199	   NA	   NA	0	25	1
I	43200	43399	   NA	   NA	0	25	1
I	43400	43599	   NA	   NA	0	25	1
I	43600	43799	   NA	   NA	0	25	1
I	43800	43999	   NA	   NA	0	25	1
I	44000	44199	   NA	   NA	0	25	1
I	44200	44399	   NA	   NA	0	25	1
I	44400	44599	   NA	   NA	0	25	1
I	44600	44799	   NA	   NA	0	25	1
I	44800	44999	   NA	   NA	0	25	1
I	45000	45199	   NA	   NA	0	25	1
I	45200	45399	   NA	   NA	0	25	1
I	45400	45599	   NA	   NA	0	25	1
I	45600	45799	   NA	   NA	0	25	1
I	45800	45999	   NA	   NA	0	25	1
I	46000	46199	   NA	   NA	0	25	1
I	46200	46399	   NA	   NA	0	25	1
I	46400	46599	   NA	   NA	0	25	1
I	46600	46799	   NA	   NA	0	25	1
I	46800	46999	   NA	   NA	0	25	1
I	47000	47199	   NA	   NA	0	25	1
I	47200	47399	   NA	   NA	0	25	1
I	47400	47599	   NA	   NA	0	25	1
I	47600	47799	   NA	   NA	0	25	1
I	47800	47999	   NA	   NA	0	25	1
I	48000	48199	   NA	   NA	0	25	1
I	48200	48399	   NA	   NA	0	25	1
I	48400	48599	   NA	   NA	0	25	1
I	48600	48799	   NA	   NA	0	25	1
I	48800	48999	   NA	   NA	0	25	1
I	49000	49199	   NA	   NA	0	25	1
I	49200	49399	1.321	-0.9965	0	25	1
I	49400	49599	1.881	-0.436	0	25	1
I	49600	49799	1.927	-0.3899	0	25	1
I	49800	49999	1.932	-0.3851	0	25	1
I	50000	50199	 2.06	-0.2571	0	25	1
I	50200	50399	2.156	-0.1616	0	25	1
I	50400	50599	1.992	-0.3252	0	25	1
I	50600	50799	 2.24	-0.0772	0	25	1
I	50800	50999	1.688	-0.629	0	25	1
I	51000	51199	1.809	-0.5081	0	25	1
I	51200	51399	 1.96	-0.3574	0	25	1
I	51400	51599	2.037	-0.2799	0	25	1
I	51600	51799	2.141	-0.1761	0	25	1
I	51800	51999	2.174	-0.1435	0	25	1
I	52000	52199	2.142	-0.1754	0	25	1
I	52200	52399	1.916	-0.4009	0	25	1
I	52400	52599	1.665	-0.6522	0	25	1
I	52600	52799	1.315	-1.002	0	25	1
I	52800	52999	1.194	-1.124	0	25	1
I	53000	53199	1.183	-1.134	0	25	1
I	53200	53399	1.199	-1.118	0	25	1
I	53400	53599	1.414	-0.9034	0	25	1
I	53600	53799	1.674	-0.6428	0	25	1
I	53800	53999	1.609	-0.7087	0	25	1
I	54000	54199	1.574	-0.7435	0	25	1
I	54200	54399	1.602	-0.7155	0	25	1
I	54400	54599	1.886	-0.4313	0	25	1
I	54600	54799	2.219	-0.09806	0	25	1
I	54800	54999	2.951	0.6339	0	25	1
I	55000	55199	 3.17	0.8524	0	25	1
I	55200	55399	3.744	1.427	1	25.5	0
I	55400	55599	3.541	1.224	0	26	0
I	55600	55799	3.218	0.9012	0	26	0
I	55800	55999	4.195	1.878	0	26	0
I	56000	56199	5.376	3.059	0	26	0
I	56200	56399	5.737	3.419	0	26	0
I	56400	56599	 5.75	3.433	1	26.5	0
I	56600	56799	5.209	2.892	0	27	0
I	56800	56999	4.891	2.574	0	27	0
I	57000	57199	4.784	2.467	0	27	0
I	57200	57399	5.048	2.731	1	27.5	0
I	57400	57599	2.144	-0.1732	0	28	1
I	57600	57799	 1.95	-0.3673	0	28	1
I	57800	57999	1.949	-0.368	0	28	1
I	58000	58199	1.449	-0.8687	0	28	1
I	58200	58399	1.247	-1.07	0	28	1
I	58400	58599	0.765	-1.552	0	28	1
I	58600	58799	0.756	-1.561	0	28	1
I	58800	58999	1.221	-1.096	0	28	1
I	59000	59199	1.757	-0.5602	0	28	1
I	59200	59399	2.865	0.5476	0	28	1
I	59400	59599	3.009	0.6913	1	28.5	0
I	59600	59799	2.902	0.585	0	29	0
I	59800	59999	2.932	0.6143	0	29	0
I	60000	60199	2.867	0.5498	0	29	0
I	60200	60399	 2.92	0.6025	0	29	0
I	60400	60599	2.744	0.4263	0	29	0
I	60600	60799	2.847	0.5294	0	29	0
I	60800	60999	2.887	 0.57	0	29	0
I	61000	61199	2.948	0.6304	0	29	0
I	61200	61399	3.191	0.8738	1	29.5	0
I	61400	61599	2.603	0.2862	0	30	1
I	61600	61799	2.662	0.3448	0	30	1
I	61800	61999	2.257	-0.05987	0	30	1
I	62000	62199	2.223	-0.09408	0	30	1
I	62200	62399	2.083	-0.2338	0	30	1
I	62400	62599	2.107	-0.2104	0	30	1
I	62600	62799	2.363	0.04612	0	30	1
I	62800	62999	2.587	0.2698	0	30	1
I	63000	63199	2.621	0.3035	1	30.5	0
I	63200	63399	2.524	0.2068	0	31	1
I	63400	63599	2.365	0.04817	0	31	1
I	63600	63799	 2.11	-0.2077	0	31	1
I	63800	63999	2.113	-0.2041	0	31	1
I	64000	64199	2.195	-0.1219	0	31	1
I	64200	64399	2.364	0.0472	0	31	1
I	64400	64599	2.393	0.07565	1	31.5	0
I	64600	64799	2.099	-0.2182	0	32	1
I	64800	64999	2.204	-0.1134	0	32	1
I	65000	65199	2.275	-0.04253	0	32	1
I	65200	65399	 1.98	-0.3377	0	32	1
I	65400	65599	2.199	-0.1182	0	32	1
I	65600	65799	2.549	0.2316	0	32	1
I	65800	65999	2.881	0.5641	0	32	1
I	66000	66199	3.066	0.7485	1	32.5	0
I	66200	66399	3.034	0.717	0	33	1
I	66400	66599	2.644	0.3268	0	33	1
I	66600	66799	2.566	0.2492	0	33	1
I	66800	66999	2.365	0.04734	0	33	1
I	67000	67199	2.181	-0.1359	0	33	1
I	67200	67399	1.871	-0.4467	0	33	1
I	67400	67599	1.647	-0.6698	0	33	1
I	67600	67799	1.433	-0.8848	0	33	1
I	67800	67999	1.319	-0.9984	0	33	1
I	68000	68199	1.297	-1.02	0	33	1
I	68200	68399	1.258	-1.059	0	33	1
I	68400	68599	1.414	-0.9029	0	33	1
I	68600	68799	1.564	-0.7533	0	33	1
I	68800	68999	1.733	-0.5838	0	33	1
I	69000	69199	 2.26	-0.05723	0	33	1
I	69200	69399	2.563	0.2461	0	33	1
I	69400	69599	2.647	0.3293	0	33	1
I	69600	69799	2.777	0.4599	1	33.5	0
I	69800	69999	2.736	0.4187	0	34	1
I	70000	70199	 2.69	0.3725	0	34	1
I	70200	70399	 2.56	0.2428	0	34	1
I	70400	70599	2.427	0.1093	0	34	1
I	70600	70799	2.218	-0.09908	0	34	1
I	70800	70999	1.956	-0.3614	0	34	1
I	71000	71199	1.983	-0.3341	0	34	1
I	71200	71399	1.957	-0.3605	0	34	1
I	71400	71599	1.867	-0.4506	0	34	1
I	71600	71799	1.815	-0.502	0	34	1
I	71800	71999	 1.72	-0.5975	0	34	1
I	72000	72199	 1.67	-0.6473	0	34	1
I	72200	72399	1.596	-0.721	0	34	1
I	72400	72599	 1.65	-0.6672	0	34	1
I	72600	72799	1.656	-0.6614	0	34	1
I	72800	72999	1.735	-0.5823	0	34	1
